a_x,a_y,a_z,m_x,m_y,m_z,omega_x,omega_y,omega_z,g_x,g_y,g_z,Pressure,Temperature,Timestamp
0.49,0.01,0.26,-8.0,-34.19,-19.75,7.62,20.62,5.62,-1.18,0.57,9.71,98942.64,25.8,2024-11-19 17:00:09
0.28,-0.49,0.82,-7.0,-34.0,-20.75,-1.12,15.5,2.81,-1.27,0.57,9.7,98942.68,25.81,2024-11-19 17:00:09
0.26,0.15,0.37,-7.0,-34.0,-20.75,4.19,9.06,-0.25,-1.32,0.58,9.69,98943.02,25.81,2024-11-19 17:00:09
0.19,0.41,0.02,-6.75,-33.88,-20.06,-3.19,1.75,-4.19,-1.35,0.59,9.69,98942.95,25.81,2024-11-19 17:00:09
0.09,-0.18,0.52,-6.75,-33.88,-20.06,-5.75,-1.06,-5.37,-1.35,0.57,9.69,98942.95,25.8,2024-11-19 17:00:09
-0.5,0.23,-0.83,-7.5,-34.75,-21.19,-10.81,-7.06,-6.44,-1.31,0.51,9.7,98943.02,25.8,2024-11-19 17:00:09
-0.67,0.94,-0.03,-6.0,-33.88,-21.87,-21.12,-7.19,-4.0,-1.28,0.42,9.71,98942.98,25.8,2024-11-19 17:00:09
-1.25,0.77,1.18,-6.0,-33.88,-21.87,-25.19,-17.12,-0.19,-1.22,0.3,9.72,98942.98,25.79,2024-11-19 17:00:09
-0.31,-1.08,0.14,-7.69,-34.56,-22.0,-17.31,-23.5,-1.75,-1.11,0.2,9.74,98943.42,25.79,2024-11-19 17:00:09
-0.1,-1.32,0.39,-8.25,-32.69,-21.56,-18.62,-25.31,-9.06,-0.99,0.11,9.75,98943.25,25.79,2024-11-19 17:00:09
-0.17,-1.25,0.24,-8.25,-32.69,-21.56,-20.75,-26.5,-13.88,-0.86,0.0,9.76,98943.25,25.78,2024-11-19 17:00:09
-0.13,-1.02,0.49,-8.56,-32.25,-22.37,-17.25,-26.37,-19.69,-0.77,-0.06,9.77,98943.02,25.78,2024-11-19 17:00:09
0.23,-0.66,-0.04,-8.56,-32.25,-22.37,-7.0,-25.06,-25.06,-0.6,-0.14,9.78,98942.98,25.78,2024-11-19 17:00:09
0.45,0.14,-0.47,-9.38,-31.37,-22.19,-8.25,-23.37,-27.69,-0.47,-0.18,9.79,98942.98,25.78,2024-11-19 17:00:09
1.1,-1.1,0.65,-9.38,-31.37,-22.19,-3.37,-18.5,-29.37,-0.4,-0.2,9.79,98942.73,25.78,2024-11-19 17:00:09
0.45,0.52,-0.78,-11.0,-30.5,-22.75,2.06,-9.19,-27.81,-0.32,-0.19,9.79,98942.8,25.78,2024-11-19 17:00:09
0.31,-0.01,1.34,-9.38,-30.87,-23.5,5.81,-6.44,-21.87,-0.3,-0.18,9.8,98942.8,25.77,2024-11-19 17:00:09
-0.11,0.68,-0.18,-9.38,-30.87,-23.5,15.88,2.69,-14.38,-0.29,-0.11,9.8,98942.63,25.77,2024-11-19 17:00:09
0.56,-0.49,-0.2,-10.88,-30.5,-23.75,10.0,7.81,-8.06,-0.33,-0.04,9.8,98942.8,25.77,2024-11-19 17:00:09
0.11,-0.6,-0.48,-10.88,-30.5,-23.75,12.13,8.63,-8.25,-0.35,0.0,9.8,98942.8,25.77,2024-11-19 17:00:09
-0.56,-0.14,0.19,-10.19,-31.0,-23.56,4.81,6.37,-3.81,-0.39,0.02,9.79,98942.93,25.77,2024-11-19 17:00:09
-0.42,0.19,0.98,-9.56,-30.37,-24.37,5.5,2.44,3.0,-0.41,0.05,9.79,98942.48,25.77,2024-11-19 17:00:09
0.17,-0.02,1.04,-9.56,-30.37,-24.37,3.69,-2.0,5.62,-0.4,0.06,9.79,98942.48,25.77,2024-11-19 17:00:09
