a_x,a_y,a_z,m_x,m_y,m_z,omega_x,omega_y,omega_z,g_x,g_y,g_z,Pressure,Temperature,Timestamp
-0.3,-0.59,-0.04,-8.88,-26.25,-28.56,7.0,-1.94,-7.0,-0.17,-0.21,9.8,99106.88,24.34,2024-11-19 17:06:08
-0.47,-0.63,-0.58,-9.0,-25.25,-28.5,4.75,-2.25,-4.37,-0.16,-0.18,9.8,99106.86,24.34,2024-11-19 17:06:08
-0.29,-0.71,-0.37,-9.0,-24.87,-28.5,3.56,-0.81,-0.56,-0.15,-0.15,9.8,99106.61,24.34,2024-11-19 17:06:08
0.07,-0.6,0.14,-9.0,-24.87,-28.5,0.81,-2.31,-0.06,-0.15,-0.17,9.8,99106.61,24.34,2024-11-19 17:06:08
0.3,-1.04,0.43,-7.87,-26.0,-28.87,-5.69,-8.88,-1.87,-0.1,-0.2,9.8,99106.96,24.34,2024-11-19 17:06:08
-0.37,-0.61,-0.39,-7.87,-26.0,-28.87,-7.94,-10.19,-0.56,-0.07,-0.22,9.8,99107.23,24.33,2024-11-19 17:06:08
-0.3,-0.69,0.11,-10.5,-27.06,-27.75,-10.38,-9.5,1.94,-0.02,-0.27,9.8,99107.23,24.33,2024-11-19 17:06:08
-0.3,-0.53,0.06,-10.5,-27.06,-27.75,-8.75,-10.0,2.87,0.02,-0.32,9.8,99107.35,24.33,2024-11-19 17:06:08
-0.13,-0.26,-0.27,-9.69,-26.56,-28.25,-12.88,-8.5,2.5,0.06,-0.37,9.79,99106.87,24.33,2024-11-19 17:06:08
0.1,-0.93,-0.27,-10.5,-26.56,-29.0,-14.31,-4.12,0.88,0.08,-0.42,9.79,99106.87,24.33,2024-11-19 17:06:08
0.15,-1.95,-0.24,-10.5,-26.56,-29.0,-10.69,3.44,-3.5,0.08,-0.48,9.79,99107.08,24.33,2024-11-19 17:06:08
-0.2,-1.45,0.68,-9.25,-24.75,-29.0,-6.44,8.56,-7.31,0.04,-0.52,9.79,99107.56,24.33,2024-11-19 17:06:08
-0.21,-1.41,1.6,-9.25,-24.75,-29.0,-5.5,7.56,-7.62,0.02,-0.53,9.79,99107.56,24.33,2024-11-19 17:06:08
-0.21,-0.89,1.66,-9.69,-25.87,-27.06,-5.56,-2.06,-5.56,0.01,-0.57,9.78,99107.66,24.33,2024-11-19 17:06:08
-0.35,-0.41,0.96,-9.69,-25.87,-27.06,-7.69,-7.37,-2.81,0.03,-0.59,9.78,99107.27,24.33,2024-11-19 17:06:08
-0.61,-0.28,-0.06,-9.38,-25.19,-27.37,-6.69,-10.94,3.0,0.08,-0.63,9.78,99107.27,24.33,2024-11-19 17:06:08
-0.66,-0.09,-0.22,-9.38,-24.25,-28.87,1.31,-9.13,9.19,0.13,-0.64,9.78,99107.48,24.33,2024-11-19 17:06:08
0.11,0.26,1.08,-9.38,-24.25,-28.87,2.12,-6.69,12.63,0.16,-0.63,9.78,99107.84,24.33,2024-11-19 17:06:08
-0.03,0.83,1.37,-10.19,-24.25,-28.56,3.06,-5.75,10.56,0.18,-0.62,9.78,99107.84,24.33,2024-11-19 17:06:08
-0.56,1.41,0.33,-10.19,-24.25,-28.56,3.06,-2.94,9.69,0.2,-0.59,9.78,99107.23,24.33,2024-11-19 17:06:08
0.29,0.47,-0.41,-10.56,-24.69,-28.56,7.62,4.25,8.88,0.19,-0.57,9.78,99106.88,24.33,2024-11-19 17:06:08
0.14,0.93,-1.37,-10.56,-24.69,-28.56,8.31,6.69,7.62,0.17,-0.54,9.78,99106.88,24.33,2024-11-19 17:06:08
0.28,0.48,-0.4,-10.19,-25.37,-28.56,-3.5,12.13,4.44,0.1,-0.53,9.79,99107.38,24.33,2024-11-19 17:06:08
0.07,0.9,1.86,-10.06,-25.37,-28.25,-0.37,10.0,3.0,0.04,-0.55,9.79,99107.08,24.33,2024-11-19 17:06:08
-0.1,1.12,0.44,-10.06,-25.37,-28.25,0.44,2.5,0.81,0.01,-0.54,9.79,99107.08,24.32,2024-11-19 17:06:08
0.29,-0.2,-0.39,-10.06,-25.75,-27.87,-4.5,-2.31,-1.94,0.02,-0.56,9.79,99106.88,24.32,2024-11-19 17:06:08
0.46,-0.41,-1.15,-10.06,-26.5,-27.37,-1.75,-4.69,-5.06,0.05,-0.57,9.78,99107.05,24.32,2024-11-19 17:06:08
0.14,0.27,-1.04,-10.06,-26.5,-27.37,-3.5,-7.12,-7.81,0.07,-0.59,9.78,99107.05,24.31,2024-11-19 17:06:08
0.0,1.1,-0.89,-9.69,-26.06,-28.87,-4.31,-5.94,-9.38,0.12,-0.61,9.78,99107.39,24.31,2024-11-19 17:06:09
0.27,0.8,1.52,-9.69,-26.06,-28.87,-2.94,-3.94,-7.25,0.14,-0.63,9.78,99108.2,24.31,2024-11-19 17:06:09
0.3,0.48,0.45,-10.06,-26.06,-28.19,12.13,-8.0,-1.69,0.18,-0.58,9.78,99107.92,24.32,2024-11-19 17:06:09
0.33,0.37,-1.65,-10.5,-26.06,-27.75,12.19,-6.19,-3.19,0.21,-0.54,9.78,99107.92,24.32,2024-11-19 17:06:09
0.18,-0.01,-0.22,-10.5,-26.06,-27.75,9.13,7.37,-11.69,0.19,-0.48,9.79,99108.4,24.32,2024-11-19 17:06:09
0.13,0.85,0.43,-10.06,-26.87,-28.19,14.5,7.94,-13.69,0.16,-0.41,9.79,99108.37,24.32,2024-11-19 17:06:09
0.33,0.77,0.04,-10.06,-26.87,-28.19,10.63,7.19,-14.81,0.13,-0.37,9.79,99108.37,24.32,2024-11-19 17:06:09
0.39,0.07,0.23,-10.06,-27.25,-27.37,4.5,8.5,-19.12,0.08,-0.33,9.8,99107.87,24.32,2024-11-19 17:06:09
-0.04,-0.52,-0.04,-9.69,-27.25,-28.5,7.19,4.06,-25.94,0.06,-0.3,9.8,99107.57,24.32,2024-11-19 17:06:09
-0.08,-0.4,-0.17,-9.69,-27.25,-28.5,5.56,0.62,-30.0,0.06,-0.27,9.8,99107.57,24.32,2024-11-19 17:06:09
0.33,-0.14,0.03,-8.69,-27.87,-27.5,-3.37,-3.06,-33.81,0.07,-0.26,9.8,99107.71,24.32,2024-11-19 17:06:09
0.09,-0.69,0.4,-6.75,-28.56,-28.56,-11.38,-4.0,-38.88,0.09,-0.31,9.8,99108.23,24.32,2024-11-19 17:06:09
-0.33,-0.19,-0.32,-6.75,-28.56,-28.56,-6.31,-3.75,-42.94,0.12,-0.35,9.79,99108.23,24.31,2024-11-19 17:06:09
-0.35,1.03,0.61,-7.56,-28.69,-28.0,-6.25,-1.87,-42.69,0.14,-0.37,9.79,99108.33,24.31,2024-11-19 17:06:09
-0.24,1.59,2.3,-7.0,-28.56,-28.0,1.56,-3.44,-33.69,0.17,-0.4,9.79,99108.48,24.31,2024-11-19 17:06:09
-0.28,1.58,0.26,-7.0,-28.56,-28.0,7.62,-4.19,-29.37,0.19,-0.36,9.79,99108.48,24.31,2024-11-19 17:06:09
-0.46,1.22,-1.98,-5.56,-28.56,-27.56,1.94,-1.56,-24.12,0.2,-0.35,9.79,99109.12,24.31,2024-11-19 17:06:09
-0.59,0.12,-2.48,-5.56,-28.56,-27.56,-6.81,9.0,-21.0,0.16,-0.38,9.79,99108.37,24.31,2024-11-19 17:06:09
-0.77,0.58,-1.0,-6.0,-28.56,-28.0,-11.31,17.44,-19.0,0.11,-0.41,9.79,99108.37,24.3,2024-11-19 17:06:09
-0.69,0.79,0.38,-6.0,-28.56,-28.0,-16.94,17.56,-15.56,0.02,-0.49,9.79,99107.87,24.3,2024-11-19 17:06:09
-0.45,-0.37,0.76,-5.25,-28.87,-28.0,-17.62,14.63,-12.19,-0.04,-0.58,9.78,99107.27,24.3,2024-11-19 17:06:09
-0.36,-0.72,1.15,-5.25,-28.87,-28.0,-11.56,13.06,-12.13,-0.08,-0.62,9.78,99107.27,24.3,2024-11-19 17:06:09
-0.45,-0.52,1.34,-4.19,-27.19,-28.37,0.94,8.44,-12.75,-0.13,-0.64,9.78,99106.8,24.3,2024-11-19 17:06:09
-0.66,-0.17,0.66,-3.37,-26.06,-27.56,7.56,2.25,-12.19,-0.14,-0.61,9.78,99106.51,24.31,2024-11-19 17:06:09
-0.55,0.12,-0.27,-3.37,-26.06,-27.56,8.13,-0.62,-10.88,-0.14,-0.57,9.78,99106.51,24.31,2024-11-19 17:06:09
-0.54,-0.21,-0.43,-3.5,-26.87,-27.25,7.69,-1.25,-9.0,-0.13,-0.53,9.79,99107.2,24.31,2024-11-19 17:06:09
-0.59,-0.07,-0.73,-3.5,-26.87,-27.25,9.81,-0.37,-9.19,-0.13,-0.47,9.79,99107.27,24.31,2024-11-19 17:06:09
-0.42,0.65,-0.46,-2.69,-27.06,-27.25,5.62,0.0,-7.75,-0.12,-0.45,9.79,99107.27,24.3,2024-11-19 17:06:09
-0.34,0.23,0.43,-1.87,-27.37,-26.87,-0.88,0.75,-4.0,-0.13,-0.45,9.79,99107.51,24.3,2024-11-19 17:06:09
-0.16,0.22,1.04,-1.87,-27.37,-26.87,3.37,-1.37,-2.44,-0.12,-0.44,9.79,99108.2,24.3,2024-11-19 17:06:09
0.06,0.17,0.08,-2.19,-27.5,-28.06,3.31,-0.75,-3.31,-0.12,-0.43,9.79,99108.2,24.3,2024-11-19 17:06:09
0.0,-0.09,-0.16,-2.19,-27.5,-28.06,0.0,1.12,-3.87,-0.12,-0.42,9.79,99108.48,24.3,2024-11-19 17:06:09
0.05,0.15,0.47,-1.87,-27.75,-27.69,-1.5,-0.25,-4.56,-0.12,-0.43,9.79,99108.38,24.3,2024-11-19 17:06:09
0.0,0.31,0.1,-2.56,-27.5,-27.25,-1.81,-1.12,-4.69,-0.12,-0.44,9.79,99108.38,24.29,2024-11-19 17:06:09
-0.14,0.21,-0.02,-2.56,-27.5,-27.25,-2.44,-1.56,-3.56,-0.11,-0.45,9.79,99108.27,24.29,2024-11-19 17:06:09
-0.09,-0.01,0.01,-3.0,-27.69,-27.25,-2.62,-1.56,-1.81,-0.1,-0.47,9.79,99107.79,24.29,2024-11-19 17:06:09
0.0,0.17,-0.13,-3.0,-27.69,-27.25,-2.31,-1.94,-1.62,-0.09,-0.47,9.79,99107.79,24.29,2024-11-19 17:06:09
-0.11,0.0,-0.2,-1.87,-27.37,-28.75,-3.87,-1.12,-0.44,-0.09,-0.49,9.79,99107.88,24.29,2024-11-19 17:06:09
0.0,0.06,0.26,-2.19,-26.69,-27.69,-0.94,-1.56,1.37,-0.08,-0.51,9.79,99108.03,24.29,2024-11-19 17:06:09
0.11,0.29,0.0,-2.19,-26.69,-27.69,0.5,-2.12,1.94,-0.07,-0.51,9.79,99108.03,24.29,2024-11-19 17:06:09
-0.09,0.12,-0.04,-1.37,-26.25,-27.69,-0.25,-1.44,2.31,-0.06,-0.5,9.79,99107.75,24.29,2024-11-19 17:06:09
-0.15,0.01,-0.02,-1.37,-26.69,-27.69,0.75,-0.75,2.87,-0.06,-0.5,9.79,99107.75,24.29,2024-11-19 17:06:09
-0.08,0.07,-0.12,-1.37,-26.69,-27.69,1.87,0.06,2.87,-0.06,-0.49,9.79,99107.17,24.29,2024-11-19 17:06:09
-0.2,0.0,0.04,-2.87,-26.69,-27.69,1.31,0.13,2.5,-0.06,-0.49,9.79,99107.17,24.3,2024-11-19 17:06:09
-0.14,-0.07,0.34,-2.87,-26.69,-27.69,0.31,-0.62,2.12,-0.07,-0.49,9.79,99107.27,24.3,2024-11-19 17:06:09
-0.03,-0.08,0.13,-2.87,-25.19,-27.25,1.31,-1.56,1.81,-0.06,-0.48,9.79,99107.17,24.3,2024-11-19 17:06:09
-0.1,-0.04,-0.14,-2.87,-25.19,-27.25,1.12,-1.5,1.12,-0.05,-0.48,9.79,99107.17,24.3,2024-11-19 17:06:09
-0.26,-0.23,-0.21,-2.5,-25.5,-27.25,-1.12,0.06,0.56,-0.05,-0.48,9.79,99107.41,24.3,2024-11-19 17:06:09
-0.21,0.0,0.17,-2.5,-25.5,-27.25,-0.44,-0.13,1.06,-0.05,-0.48,9.79,99106.91,24.3,2024-11-19 17:06:09
-0.29,0.02,0.26,-2.5,-25.87,-28.75,-0.69,-1.31,1.81,-0.05,-0.48,9.79,99106.91,24.31,2024-11-19 17:06:09
-0.33,0.04,0.15,-2.06,-26.69,-27.69,-1.87,-2.25,2.12,-0.05,-0.49,9.79,99107.13,24.31,2024-11-19 17:06:09
-0.18,-0.15,-0.23,-2.06,-26.69,-27.69,-2.0,-1.37,2.94,-0.04,-0.5,9.79,99107.26,24.31,2024-11-19 17:06:09
-0.11,-0.31,-0.39,-1.75,-25.5,-28.06,-2.31,0.44,2.75,-0.04,-0.51,9.79,99107.26,24.31,2024-11-19 17:06:09
-0.23,-0.08,0.27,-1.75,-25.5,-28.06,-2.75,1.69,2.0,-0.05,-0.52,9.79,99107.28,24.31,2024-11-19 17:06:09
-0.2,-0.09,0.22,-4.0,-26.25,-28.75,-2.06,-0.06,2.19,-0.05,-0.54,9.79,99107.43,24.31,2024-11-19 17:06:09
-0.11,-0.53,0.0,-4.0,-26.25,-28.75,-2.62,-0.19,2.12,-0.05,-0.55,9.79,99107.43,24.31,2024-11-19 17:06:09
