a_x,a_y,a_z,m_x,m_y,m_z,omega_x,omega_y,omega_z,g_x,g_y,g_z,Pressure,Temperature,Timestamp
-0.03,-0.03,-0.03,6.25,-16.56,-10.06,-2.12,-1.5,2.69,-0.13,-0.64,9.78,99106.88,24.48,2024-11-19 17:04:53
0.07,0.04,-0.04,6.25,-16.56,-10.06,-1.0,-0.69,2.56,-0.13,-0.64,9.78,99106.47,24.48,2024-11-19 17:04:53
0.02,-0.25,0.14,7.69,-16.19,-9.25,-0.75,0.5,1.69,-0.13,-0.65,9.78,99106.78,24.48,2024-11-19 17:04:53
-0.03,-0.17,0.26,7.69,-16.19,-9.25,0.81,0.88,0.37,-0.13,-0.65,9.78,99106.78,24.48,2024-11-19 17:04:53
0.03,-0.12,0.29,7.69,-16.56,-10.06,0.56,0.5,-0.56,-0.13,-0.64,9.78,99106.85,24.48,2024-11-19 17:04:53
-0.17,0.25,-0.06,7.0,-16.87,-10.88,-2.5,-1.87,0.19,-0.13,-0.65,9.78,99107.15,24.47,2024-11-19 17:04:53
0.42,-0.48,0.16,7.0,-16.87,-10.88,-4.06,-5.37,1.0,-0.11,-0.67,9.78,99107.15,24.47,2024-11-19 17:04:53
0.4,0.16,-0.21,7.0,-16.87,-10.5,-1.12,-4.06,-2.19,-0.08,-0.68,9.78,99107.02,24.46,2024-11-19 17:04:53
0.01,0.02,0.07,7.69,-16.87,-10.06,-3.5,-1.25,-4.87,-0.07,-0.69,9.78,99106.52,24.46,2024-11-19 17:04:53
0.03,-0.06,0.0,7.69,-16.87,-10.06,-1.37,3.0,-4.87,-0.08,-0.71,9.78,99106.64,24.46,2024-11-19 17:04:53
-0.17,-0.18,-0.12,7.37,-16.75,-10.88,0.81,5.56,-4.87,-0.09,-0.71,9.78,99106.64,24.47,2024-11-19 17:04:53
-0.33,0.21,0.19,7.37,-16.75,-10.88,1.62,7.94,-3.25,-0.13,-0.7,9.78,99106.6,24.47,2024-11-19 17:04:53
-0.09,-0.34,0.13,7.75,-15.38,-10.38,0.19,6.75,-0.62,-0.16,-0.7,9.78,99107.04,24.47,2024-11-19 17:04:53
-0.04,-0.39,0.28,7.75,-15.38,-10.38,-1.25,5.81,-0.75,-0.18,-0.7,9.77,99107.04,24.47,2024-11-19 17:04:53
0.04,0.07,0.25,8.56,-15.06,-9.69,0.44,2.69,-0.81,-0.2,-0.7,9.77,99106.91,24.47,2024-11-19 17:04:53
-0.08,0.14,-0.04,8.56,-15.06,-9.69,-3.19,-2.56,1.31,-0.2,-0.71,9.77,99106.93,24.47,2024-11-19 17:04:53
-0.1,-0.02,0.19,8.19,-14.69,-11.25,-2.0,-4.31,3.69,-0.18,-0.72,9.77,99106.93,24.47,2024-11-19 17:04:53
0.1,0.0,-0.01,8.19,-15.06,-11.0,-0.94,-5.56,4.37,-0.16,-0.72,9.77,99106.35,24.47,2024-11-19 17:04:53
