a_x,a_y,a_z,m_x,m_y,m_z,omega_x,omega_y,omega_z,g_x,g_y,g_z,Pressure,Temperature,Timestamp
-5.2,-3.31,9.24,21.25,-9.19,-38.38,25.06,15.5,-55.13,-3.49,-2.88,8.69,102804.18,23.27,2024-11-12 16:34:33
-5.41,-2.49,8.24,22.19,-8.88,-38.69,38.06,25.69,-31.62,-3.59,-2.74,8.69,102804.01,23.27,2024-11-12 16:34:33
-5.07,-2.36,7.31,23.69,-9.69,-37.88,9.38,-9.0,0.06,-3.65,-2.42,8.76,102804.0,23.27,2024-11-12 16:34:33
-6.35,-0.48,8.99,24.06,-10.88,-35.88,43.25,15.56,-2.75,-3.66,-2.15,8.83,102804.19,23.27,2024-11-12 16:34:33
-5.54,-1.84,9.93,25.25,-11.56,-35.88,33.44,1.37,-4.0,-3.61,-2.57,8.74,102804.32,23.26,2024-11-12 16:34:33
-5.36,-3.6,5.5,23.37,-11.19,-35.75,28.81,-4.19,-32.06,-3.65,-2.26,8.81,102804.64,23.27,2024-11-12 16:34:33
-3.63,-1.24,11.56,23.37,-12.69,-34.25,-85.44,-28.56,115.62,-3.32,-2.36,8.91,102804.53,23.27,2024-11-12 16:34:33
-4.05,-2.96,11.87,19.75,-13.19,-35.75,126.12,13.88,-15.88,-3.44,-1.36,9.08,102805.3,23.27,2024-11-12 16:34:33
-5.5,1.24,9.22,23.75,-14.69,-34.38,-68.75,1.06,9.38,-3.55,-1.16,9.06,102805.63,23.27,2024-11-12 16:34:33
-5.05,-1.06,9.15,31.37,-18.25,-35.56,196.81,-6.81,-54.75,-3.46,-0.42,9.16,102805.97,23.27,2024-11-12 16:34:33
-5.43,1.61,9.84,32.75,-20.75,-34.38,-120.12,-14.0,1.94,-3.06,-0.66,9.29,102804.91,23.27,2024-11-12 16:34:33
-3.86,1.87,10.94,33.88,-21.56,-36.88,43.19,-83.69,10.0,-2.53,-0.05,9.47,102804.37,23.26,2024-11-12 16:34:33
-3.66,1.07,7.16,31.69,-22.87,-39.75,-149.81,-86.5,84.12,-1.94,-0.56,9.59,102804.02,23.26,2024-11-12 16:34:33
-3.65,0.97,7.63,30.25,-20.37,-43.69,11.81,-36.13,-6.12,-1.5,-0.75,9.66,102803.59,23.26,2024-11-12 16:34:33
-1.73,-2.39,6.17,28.87,-20.25,-44.25,-154.87,-79.31,71.19,-1.11,-1.43,9.63,102803.07,23.26,2024-11-12 16:34:33
-1.81,1.09,9.08,23.75,-17.0,-48.25,-53.63,-59.75,26.81,-0.32,-1.54,9.67,102802.73,23.25,2024-11-12 16:34:33
0.75,-1.75,9.27,20.87,-18.06,-48.56,-94.37,37.88,4.19,-0.21,-2.53,9.47,102802.82,23.25,2024-11-12 16:34:33
-3.22,-0.54,7.1,21.56,-11.5,-50.0,-20.81,135.62,43.5,-1.11,-2.87,9.31,102803.1,23.25,2024-11-12 16:34:33
-1.81,-2.44,9.97,24.87,-12.56,-50.0,-5.5,-76.62,5.31,-1.24,-2.97,9.26,102803.25,23.25,2024-11-12 16:34:33
-1.93,-2.56,7.57,24.19,-11.5,-49.5,-8.81,-45.44,32.0,-0.8,-3.08,9.27,102802.92,23.24,2024-11-12 16:34:33
-1.35,-2.19,11.97,20.19,-10.56,-51.75,-12.94,-38.63,21.62,-0.29,-3.34,9.21,102803.44,23.24,2024-11-12 16:34:33
-1.44,-1.12,9.43,19.06,-10.56,-50.56,114.31,-35.88,-34.31,-0.31,-2.38,9.5,102803.03,23.24,2024-11-12 16:34:33
-1.94,-1.34,8.4,18.37,-14.75,-50.56,3.44,-12.0,20.44,-0.08,-1.94,9.61,102803.0,23.24,2024-11-12 16:34:33
-0.87,-0.49,9.7,16.87,-18.06,-50.19,34.06,-6.56,-23.06,0.18,-1.42,9.7,102802.6,23.24,2024-11-12 16:34:33
-0.16,-1.31,10.38,15.75,-19.5,-49.0,-20.62,-22.44,16.44,0.35,-1.52,9.68,102802.83,23.24,2024-11-12 16:34:33
-0.68,-0.31,9.89,15.75,-19.5,-49.88,14.94,21.19,-0.81,0.25,-1.38,9.7,102802.5,23.24,2024-11-12 16:34:33
-0.53,-0.52,11.16,16.5,-19.5,-48.56,-24.37,-21.81,22.75,0.3,-1.53,9.68,102802.65,23.24,2024-11-12 16:34:33
-1.21,-0.3,8.91,14.69,-18.5,-49.0,17.5,2.81,0.69,0.19,-1.47,9.69,102802.84,23.24,2024-11-12 16:34:33
-0.85,-0.65,9.97,15.75,-19.19,-48.88,-5.44,-1.37,-8.56,0.34,-1.52,9.68,102803.45,23.24,2024-11-12 16:34:33
-0.62,-0.78,9.09,14.56,-19.5,-49.0,2.19,-6.06,-8.69,0.36,-1.44,9.69,102803.25,23.24,2024-11-12 16:34:33
-0.43,-0.97,10.12,14.56,-19.19,-48.56,7.19,4.5,-7.06,0.4,-1.38,9.69,102802.83,23.24,2024-11-12 16:34:33
-1.08,-0.16,9.62,13.88,-19.25,-48.56,10.31,-7.0,7.25,0.33,-1.15,9.73,102802.5,23.24,2024-11-12 16:34:33
-0.58,-0.17,11.01,15.0,-20.37,-47.38,11.88,-0.44,-1.87,0.46,-1.2,9.72,102802.98,23.24,2024-11-12 16:34:33
-0.97,0.08,9.49,13.88,-20.69,-48.56,-9.13,2.25,11.19,0.35,-1.2,9.72,102802.29,23.24,2024-11-12 16:34:33
-0.64,-0.3,10.2,13.88,-20.37,-47.75,13.63,12.56,-6.56,0.35,-1.23,9.72,102802.88,23.24,2024-11-12 16:34:33
-1.31,-0.34,9.26,16.06,-20.37,-48.56,-23.0,-12.81,12.25,0.25,-1.26,9.72,102803.23,23.25,2024-11-12 16:34:33
-1.05,-0.39,10.1,13.88,-20.69,-48.19,10.81,-6.06,-4.56,0.36,-1.21,9.72,102803.89,23.25,2024-11-12 16:34:33
-1.04,-1.05,9.59,14.25,-20.37,-47.75,9.56,-13.31,3.12,0.14,-1.1,9.74,102803.09,23.25,2024-11-12 16:34:33
-1.54,-0.21,9.61,14.56,-20.0,-47.0,3.94,1.75,-7.81,0.24,-1.04,9.74,102802.96,23.25,2024-11-12 16:34:33
